lsoa21cd,Aged_4_years_and_under,Aged_5_to_9_years,Aged_10_to_14_years,Aged_15_to_19_years,Aged_20_to_24_years,Aged_25_to_29_years,Aged_30_to_34_years,Aged_35_to_39_years,Aged_40_to_44_years,Aged_45_to_49_years,Aged_50_to_54_years,Aged_55_to_59_years,Aged_60_to_64_years,Aged_65_to_69_years,Aged_70_to_74_years,Aged_75_to_79_years,Aged_80_to_84_years,Aged_85_years_and_over
E01008144,5.8,4.2,4.9,5.7,4.2,6.4,7.4,6.5,6,7.5,7.6,6.4,4.5,5.3,6.1,4.9,3.4,3.1
E01008145,5.7,5.4,5.1,4.9,4,5.7,4.4,5.7,6.1,5.1,7,7.6,8.4,5.1,7.2,4.6,4.4,3.4
E01008148,4.6,6.3,8.2,5.7,4.5,4.5,6.5,5.3,4.7,6.1,7.6,6.2,6.4,5.2,6.1,5.5,3.5,3.2
E01008149,4,4.4,4.9,4.4,5.4,6.2,4.9,5.4,4.6,8.6,7.4,7.8,6.3,6.4,8.5,6.2,3,1.5
E01008150,5.3,4.5,5,4.7,3.6,6.8,6,6,4.9,6,7.8,6.2,5.6,6.2,6.8,5.3,3.9,5.3
E01008142,5.9,6.6,5.5,6.3,6.2,5.5,7.9,7.1,6.7,5.5,7.8,7.4,5.5,5.5,4.4,2.9,1.7,1.7
E01008143,4.3,4.8,5.2,4.2,5.2,5.9,6.7,5.9,5.9,6.8,9.1,8.7,8.6,4.4,5.7,3.8,2.6,2.1
E01008146,3.7,4.7,4.7,6.3,4,4.7,4.1,5.1,6.2,6,9.2,8.7,6.3,6.5,7.8,7.5,2.9,1.7
E01008147,2.9,3.4,4.3,4.7,3.6,4.1,4.2,2.7,4.2,7.7,8.4,8.8,6.8,7.5,9.7,9.8,3.9,3.4
E01007888,5,6.1,5.3,4,4.1,5.6,5.5,6.7,6.2,5.1,8.7,9.1,7.1,6.2,7.5,4.4,1.8,1.5
E01007892,6.3,6.2,7.4,5.7,4.1,6.3,5.4,5.8,5.4,4.9,6.5,6.7,6.5,6.3,5.6,3.8,4.7,2.5
E01007893,3.9,4.1,4.8,4.6,4.1,4.9,3.9,5.6,4.9,6.8,8.8,7.4,9.2,6.3,7.6,5.7,3.7,3.8
E01007898,5.1,4.9,5.6,3.7,4.9,5.2,7.4,6.6,6,6.9,7.1,9.1,9.8,6.3,5.1,3.5,1.4,1.6
E01007899,3.4,4.5,4.2,4.4,4.3,3.6,4.6,5,4.9,4.8,6.7,7.6,7.9,10.1,9.3,7.4,4.6,2.8
E01007900,5.9,6.6,6.1,5.2,5.6,7.4,7.6,5.4,5,5.6,6.7,6.4,5.8,5,5.9,4.4,3.2,2.3
E01007901,6.7,6.6,6.5,5.8,5.5,5.1,5.6,5.5,6.5,4.9,6.6,6.3,5.6,5.9,6.5,3.9,2.7,3.7
E01007887,4.2,5.4,6.3,5.7,4.5,5.9,5.9,6.7,5.5,7,7.8,7.1,5.8,7,5.9,4.6,2.1,2.6
E01007889,4.3,5.3,7,6.5,6,5.2,5.3,6,6.6,8.6,9.9,7.1,5.6,4.5,4.8,3,1.9,2.4
E01007890,2.6,5.1,4.8,5.2,3.8,4.8,5.1,5.5,5.7,6.9,6.7,7.4,7.1,7.3,7.6,7.8,3.9,2.5
E01007891,2.8,3.6,4.7,4.4,4.1,4,4,3.5,5.9,6,7.7,6.8,7.5,6.8,10.3,7.7,7.1,3
E01007894,5.1,4,5.5,4.5,4.8,6.7,6.5,6,5.6,6.8,7.4,6.2,6.2,5.5,6.1,4.6,4.2,4.3
E01007895,3.8,2.8,4.6,4.5,6.5,6.9,5.8,4.7,5.4,5.7,7.7,7.4,6.3,6.9,6.9,5.9,3.8,4.5
E01007896,2.8,3.4,4.1,4.2,5.4,5.1,2.5,5.1,5.2,7.2,7.7,7.7,8.4,9.5,9.5,5.7,3.6,2.7
E01007897,2.1,4.3,4.2,3.5,3,3,3,4.5,5.5,6.1,7.7,7,7.2,7.6,10.8,10.4,6.1,3.9
E01008134,3.4,4.9,4.3,4.1,3.9,4.8,4.2,6.2,4.8,4.6,8.6,8.8,6.9,7.5,9.2,5.8,3.7,4.3
E01008135,3.7,4.1,4.4,4.5,4.4,5.5,5.2,5.2,5.8,7,9.2,8.1,6.5,6.8,7.2,4.7,3.9,3.9
E01008137,3.3,3.3,4.1,3.5,3,5.3,5.7,3.8,5.7,5.6,8.6,7.8,7.8,6.7,7.8,8,5.6,4.3
E01008141,4,3.8,5.7,4.3,4.7,4.2,4.4,5.7,4.7,7.9,7,8.6,7.1,6.9,7.8,6.8,3.8,2.7
E01008053,5.5,6.1,6.3,7,5.2,4.8,5.2,8.3,6,6.1,7,5.6,7.4,4.8,4.8,4.5,3.4,1.8
E01008056,5.2,6.8,6.6,6.8,4.5,5.9,7.5,7.8,5.7,6.2,7.4,7.8,4.8,4.1,5.5,3.3,1.8,2.3
E01008058,5.4,6.1,5.9,5.4,4.9,6.7,7.6,6.4,5.9,5.3,7.5,7.2,6.6,4.6,5.2,3.6,2.9,2.6
E01008138,3.8,4,4.7,4.6,8.1,4.9,3.5,5,5.6,4.9,7.3,8,6.5,6.9,6.9,5.7,4.6,5.1
E01008139,4.7,5,6.1,4.8,5.6,5,5.7,6.3,6.6,6.4,7.8,7.4,5.1,4.2,6,5.8,5.1,2.5
E01007856,7.6,7.2,7.6,5.6,6.2,6.7,9.2,5.3,4.7,6.9,7.9,6.5,6.3,3.8,2.7,2.1,2,1.9
E01008054,8,8.4,9.2,5.8,5.3,7.3,7.7,6.8,5.8,6,7.2,5.7,4.9,3.5,2.3,2.6,1.3,2.1
E01008055,9.7,10.1,7.7,6,4.2,8.2,7.8,6.1,5,5.2,6.5,5.2,5.2,3.7,2.5,2.4,1.7,3
E01008057,6.5,9.3,9.8,8.1,5.2,7.1,7.1,6.2,6.2,7.4,6.8,5.3,5,2.8,2.4,2.1,1.6,1
E01008126,4.3,5.7,5.2,5.5,3.1,3.2,3.8,5.4,5.7,6.6,8.9,7,8.4,5,7.5,7.6,3.5,3.7
E01008128,3.9,6.1,5.5,6,4,3.8,4.3,4.5,6.3,8,9.5,7.7,7.4,7,6.8,4.7,2.8,1.9
E01008136,4.8,6.1,7.9,6.2,4.1,4.5,4,5.4,6.4,6.9,7.4,7.5,7.3,5.8,6.3,4.3,3.1,2
E01008140,4.1,6.6,6.5,4.7,4.3,4.2,5,7.9,7.1,7.7,8.1,7,7,4.3,5.5,3.8,3.3,3
E01033275,5.4,5.3,8.3,6.4,5.4,6.5,5.8,6.7,7.6,8.1,8.8,6.8,5.3,4.8,4,2.7,1.3,0.7
E01033280,4.6,6.8,7.3,6,3.5,4.1,4.5,5.8,7.7,7.4,9.3,8.7,7.4,5,5.3,3.2,2.2,1.3
E01008085,7.1,6.5,6.4,5.9,7.3,5.9,8.6,5.6,6.2,5.3,6.5,7.8,4.9,4.1,4.8,3.1,2,1.7
E01008086,7.5,7.9,7.6,7.2,5.7,6.6,7.9,6.3,5.7,5.9,8.1,5.7,4.1,4.8,2.8,2.1,2.3,1.8
E01008116,6.1,7.8,6.5,6.1,5.2,6.2,7.5,7.6,4.7,6.1,8.2,6.9,6.9,4.4,3.8,2.8,2.3,0.9
E01008117,7.8,6.3,6.7,6.7,6.2,10.5,8.5,8.1,6.2,4.9,5.2,5.4,5,3.8,3.3,2.8,1.2,1.5
E01008118,5.9,7.2,6.2,6.8,5.9,6.4,6.3,6.1,5.5,4.3,7.4,6.9,6.2,5,4.1,3.5,3.6,2.8
E01008119,6.2,7.5,9.7,6.3,4.6,7.1,6.1,7.2,5.5,6.1,6.4,7.2,4.6,3.5,4.6,2.2,2.7,2.3
E01008125,5.4,6.5,7,7.1,5.7,4.8,5.9,6.9,5.9,5.7,7,6.9,5.3,5.3,6.2,3.3,2.5,2.7
E01007849,5.6,8.3,8,6.6,6,7.9,7.5,6.4,6.5,5.6,6.4,7.4,4.9,3.3,2.4,3.6,2.2,1.4
E01007857,6.1,9,9.3,5.9,3.9,4.5,10.1,5.6,5.7,5.3,5.9,6.5,6.4,5.1,3.9,3.3,2.1,1.6
E01008059,5.9,10.5,7.6,6.8,4.4,5.4,9.4,5.7,5.6,7.3,7.3,6.2,4.8,3.8,3.7,3.2,1.3,1
E01008060,8.6,9.4,7.2,6.3,5.4,7.2,8.1,6.3,5.5,6.5,5.5,6.8,4.6,3.6,3,2.1,1.9,1.9
E01008061,7.2,9.1,7.5,7.1,6,6,7.8,6,5.7,5.9,7.1,6.2,4.9,3.4,2.9,2.6,1.7,2.9
E01008063,4.3,4.4,5.2,5,5.9,6.8,7.8,5.8,4.8,7.6,7.9,8.2,5.3,5.1,5.4,4.9,3.4,2.2
E01033277,8.9,9.2,8.9,6.5,5.4,8.3,9.2,8.4,5.7,4.5,6.6,4.7,4.2,3,2.7,1.7,1.2,1
E01008087,4.7,3.6,4.1,4.1,4,6.7,7.3,6,6.2,7.2,6.7,8.3,7.6,5.8,4.9,4.8,3.7,4.4
E01008088,4,5.2,3.7,5.2,4.5,7.5,7.1,5.7,5.7,5.6,8.2,9.3,6.2,5.1,5.3,4.3,4.7,2.8
E01008090,7.7,8.8,9.1,5.6,5.6,6.9,7.4,7.5,4.8,5.9,6.1,7.1,4.7,4.1,3.1,2.5,1.8,1.1
E01008092,4.8,5.9,5.8,4.2,5.3,6.2,6.7,6,5.3,6.8,6.9,7.8,5.1,4.4,5,4.7,3.4,5.5
E01008122,8.5,9.7,7.4,6.8,6.5,8.1,7.2,6.9,7.8,5.7,6.1,5.3,4.2,3.2,1.9,2.1,1.3,1.4
E01008124,9.9,9.3,7.7,4.6,7.8,9.9,8.4,6.8,5.7,5.1,5.5,4.5,3.8,3.1,3.8,1.2,1.6,1.1
E01007848,5.4,7.6,6.6,6.3,6.8,4,8.4,6,6.2,7.6,5.9,5.7,6.4,4.2,4.6,3.7,1.8,2.8
E01007851,6,6.9,8.4,9.3,8.2,6.4,6.2,7.6,6,5.4,5.4,6.1,5.4,4.1,3.1,2.3,1.6,1.5
E01007947,6.4,5.9,6.1,5.8,6.4,7.8,6.4,4,5.2,4.9,7.4,7.9,6.8,4.8,6.2,2.9,2.1,3.1
