"","lsoa21cd","Bangladeshi","Chinese","Indian","Pakistani","Other_Asian","African","Caribbean","Other_Black","White_and_Asian","White_and_Black_African","White_and_Black_Caribbean","Other_Mixed_or_Multiple_ethnic_groups","White_British","White_Irish","Gypsy_or_Irish_Traveller","Roma","Other_White","Arab","Any_other_ethnic_group"
"1","E01008144",0,0.7,0,0,0.4,0.5,0.1,0.1,0.4,0,0.5,0.2,95.2,0.2,0,0,1,0.4,0.6
"2","E01008145",0,0,0,0.4,0.4,1.4,0.3,0.4,0.2,0,0.4,0,94.1,1.5,0,0,0.8,0,0.2
"3","E01008148",0.1,0.1,0.3,0.6,0.3,0.7,0.2,0.3,0.4,0.2,1.1,0.2,94.3,0.5,0,0.1,0.7,0,0
"4","E01008149",0.1,0.1,0,0,0.1,0.3,0.1,0,0.4,0,0.4,0.1,96.5,0.1,0,0.1,1.5,0.1,0.1
"5","E01008150",0,0.1,0.4,0,0.1,0.3,0.1,0.1,0.2,0.1,0.3,0.3,96.6,0.4,0.1,0,0.6,0.1,0.4
"6","E01008142",0,0.5,0.4,0.3,0,0,0.1,0,0.3,0.2,1,0.4,95.1,0.3,0,0,1.4,0.1,0
"7","E01008143",0,0.1,0.1,0,0,0.3,0.2,0.3,0.4,0.3,0.4,0.4,95.3,0.9,0,0,0.8,0,0.4
"8","E01008146",0,0.6,0.2,0.1,0.1,0,0.1,0,0.5,0,0.4,0,97.2,0.2,0,0,0.5,0,0.2
"9","E01008147",0.1,0,0,0.1,0.1,0,0.1,0,0.2,0.1,0.2,0.1,97.5,0.2,0,0,0.9,0.1,0.1
"10","E01007888",0,0,0,1,0.1,0.1,0.1,0,0.1,0.3,0.1,0,96.1,0.4,0,0,1,0.1,0.4
"11","E01007892",0,0.1,0.6,0.1,0.3,2.2,0.1,0.6,0.1,0,1.6,0,90.7,0.3,0,0.1,3.1,0.1,0.1
"12","E01007893",0,0.1,0,0,0.1,0.1,0.4,0,0.5,0.1,0.6,0,97.1,0.1,0,0,0.4,0.4,0.3
"13","E01007898",0,0,0.2,0.5,0.3,0.4,0.1,0.4,0.3,0,0.6,0,93.9,0.6,0,0,2.5,0,0.1
"14","E01007899",0,0.4,0,0.8,0.1,0.3,0.1,0,0.5,0.1,0,0.6,95.7,0.2,0,0,0.8,0,0.4
"15","E01007900",0,0.4,0.5,0.5,0.3,0.7,0.1,0.4,0.5,0.4,0.7,0.4,93.7,0.7,0,0,0.8,0,0
"16","E01007901",0,0,0.4,0.5,0.1,1.1,0.4,0.4,0.7,0.2,1.9,0.6,89.3,0.1,0,0.1,2.3,0.4,1.7
"17","E01007887",0,0.1,0.9,0.1,0.3,0.9,0.3,0.1,0.3,0.1,0.5,0.2,94.9,0.4,0,0,0.9,0.1,0
"18","E01007889",0,0.3,0.4,1,0.3,0.5,0.1,0,0.4,0.1,0.5,0.4,94.1,0.3,0,0,1.1,0.1,0.4
"19","E01007890",0,0,0.2,0,0,0.3,0.2,0,0.2,0.2,0.7,0.5,96,0.2,0,0,0.7,0,0.5
"20","E01007891",0,0,0.4,0.4,0.1,0.1,0.1,0,0.3,0,0.9,0.2,95.9,0.5,0.1,0,1,0,0
"21","E01007894",0,0.7,0.6,0.1,0.7,0,0.3,0.2,0.3,0.1,1.3,0.3,92.4,0.7,0.4,0,0.9,0.1,0.9
"22","E01007895",0,0.2,0.5,0.1,0.1,0.4,0.1,0.4,0.9,0.1,0.3,0.3,93,0.8,0.2,0,2.6,0,0.1
"23","E01007896",0,0.1,0.8,0,0.1,0,0.2,0.2,0.5,0.1,0.1,0.1,97,0.2,0,0,0.6,0,0
"24","E01007897",0,0.1,0.1,0,0.2,0.3,0.5,0,0.2,0,0.1,0.5,96.1,0.8,0,0,0.8,0.2,0.3
"25","E01008134",0,0,0.1,0.3,0.2,0.1,0.2,0,0.9,0.5,0.4,0.2,94.5,0.4,0,0,1.6,0.2,0.5
"26","E01008135",0,0.8,2.7,0.5,0.6,0.2,0.3,0.1,0.7,0.1,0.5,0.4,92.5,0.2,0,0,0.3,0.1,0.1
"27","E01008137",0.4,0.4,0,0.1,0.1,0.1,0.1,0.1,0.8,0.3,0.7,0.5,94.4,0.4,0,0,1.3,0.1,0.1
